país;poblac;densidad;urbana;relig;espvidaf;espvidam;alfabet;inc_pob;mortinf;pib_cap;región;calorías;sida;tasa_nat;tasa_mor;tasasida;log_pib;logtsida;nac_def;fertilid;log_pob;cregrano;alfabmas;alfabfem;clima
Acerbaján;7400;86,0;54;Musulma.;75;67;98;1,4;35,0;3000;5;;;23,0;7;;3,48;;3,29;2,8;3,87;18;100;100;3
Afganistán;20500;25,0;18;Musulma.;44;45;29;2,8;168,0;205;3;;0;53,0;22;0,00;2,31;0,00;2,41;6,9;4,31;12;44;14;3
Alemania;81200;227,0;85;Protest.;79;73;99;0,4;6,5;17539;1;3443;11179;11,0;11;13,77;4,24;1,69;1,00;1,5;4,91;34;;;8
Arabia Saudí;18000;7,7;77;Musulma.;70;66;62;3,2;52,0;6651;5;2874;61;38,0;6;0,34;3,82;0,81;6,33;6,7;4,26;1;73;48;1
Argentina;33900;12,0;86;Católica;75;68;95;1,3;25,6;3408;6;3113;3904;20,0;9;11,52;3,53;1,63;2,22;2,8;4,53;9;96;95;8
Armenia;3700;126,0;68;Ortodoxa;75;68;98;1,4;27,0;5000;5;;2;23,0;6;0,05;3,70;0,56;3,83;3,2;3,57;17;100;100;
Australia;17800;2,3;85;Protest.;80;74;100;1,4;7,3;16848;1;3216;4727;15,0;8;26,56;4,23;1,93;1,88;1,9;4,25;6;100;100;3
Austria;8000;94,0;58;Católica;79;73;99;0,2;6,7;18396;1;3495;1150;12,0;11;14,38;4,26;1,70;1,09;1,5;3,90;17;;;8
Bahrein;600;828,0;83;Musulma.;74;71;77;2,4;25,0;7875;5;;13;29,0;4;2,17;3,90;1,17;7,25;4,0;2,78;2;55;55;3
Bangladesh;125000;800,0;16;Musulma.;53;53;35;2,4;106,0;202;3;2021;1;35,0;11;0,00;2,31;0,24;3,18;4,7;5,10;67;47;22;5
Barbados;256;605,0;45;Protest.;78;73;99;0,2;20,3;6950;6;;418;16,0;8;139,33;3,84;2,68;1,90;1,8;2,41;77;99;99;5
Bélgica;10100;329,0;96;Católica;79;73;99;0,2;7,2;17912;1;;1603;12,0;11;15,87;4,25;1,74;1,09;1,7;4,00;24;;;8
Bielorusia;10300;50,0;65;Ortodoxa;76;66;99;0,3;19,0;6500;2;;10;13,0;11;0,10;3,81;0,63;1,18;1,9;4,01;29;100;100;8
Bolivia;7900;6,9;51;Católica;64;59;78;2,7;75,0;730;6;1916;87;34,0;9;1,10;2,86;1,02;3,78;4,2;3,90;3;85;71;4
Bosnia;4600;87,0;36;Musulma.;78;72;86;0,7;12,7;3098;2;;;14,0;6;;3,49;;2,19;;3,66;20;;;8
Botswana;1359;2,4;25;Tribal;66;60;72;2,7;39,3;2677;4;2375;1415;32,0;8;101,07;3,43;2,52;4,00;5,1;3,13;2;32;16;4
Brasil;156600;18,0;75;Católica;67;57;81;1,3;66,0;2354;6;2751;49312;21,0;9;31,49;3,37;1,99;2,33;2,7;5,19;7;82;80;5
Bulgaria;8900;79,0;68;Ortodoxa;75;69;93;-0,2;12,0;3831;2;;24;13,0;12;0,27;3,58;0,77;1,08;1,8;3,95;34;;;8
Burkina Faso;10000;36,0;15;Animista;50;47;18;2,8;118,0;357;4;2288;4193;47,0;18;41,93;2,55;2,11;2,61;6,9;4,00;10;28;9;5
Burundi;6000;216,0;5;Católica;50;46;50;2,3;105,0;208;4;1932;7225;44,0;21;120,42;2,32;2,61;2,10;6,8;3,78;43;61;40;8
Camboya;10000;55,0;12;Budista;52;50;35;2,9;112,0;260;3;2166;0;45,0;16;0,00;2,41;0,00;2,81;5,8;4,00;16;48;22;5
Camerún;13100;27,0;40;Animista;58;55;54;2,9;77,0;993;4;2217;3072;41,0;12;23,45;3,00;1,88;3,42;5,7;4,12;13;66;45;4
Canadá;29100;2,8;77;Católica;81;74;97;0,7;6,8;19904;1;3482;9511;14,0;8;32,68;4,30;2,01;1,75;1,8;4,46;5;;;9
Colombia;35600;31,0;70;Católica;75;69;87;2,0;28,0;1538;6;2598;4583;24,0;6;12,87;3,19;1,67;4,00;2,5;4,55;4;88;86;5
Corea del Norte;23100;189,0;60;Budista;73;67;99;1,8;27,7;1000;3;;0;24,0;6;0,00;3,00;0,00;4,36;2,4;4,36;18;99;99;8
Corea del Sur;45000;447,0;72;Protest.;74;68;96;1,0;21,7;6627;3;;19;16,0;6;0,04;3,82;0,53;2,67;1,7;4,65;21;99;99;8
Costa Rica;3300;64,0;47;Católica;79;76;93;2,3;11,0;2031;6;2808;587;26,0;4;17,79;3,31;1,78;6,50;3,1;3,52;6;93;93;5
Croacia;4900;85,0;51;Católica;77;70;97;-0,1;8,7;5487;2;;56;11,0;11;1,14;3,74;1,03;1,00;1,7;3,69;32;;;6
Cuba;11100;99,0;74;Católica;78;74;94;1,0;10,2;1382;6;;245;17,0;7;2,21;3,14;1,17;2,43;1,9;4,05;23;95;93;5
Chile;14000;18,0;85;Católica;78;71;93;1,7;14,6;2591;6;2581;831;23,0;6;5,94;3,41;1,43;3,83;2,5;4,15;7;94;93;8
China;1205200;124,0;26;Taoista;69;67;78;1,1;52,0;377;3;2639;38;21,0;7;0,00;2,58;0,32;3,00;1,8;6,08;10;87;68;8
Dinamarca;5200;120,0;85;Protest.;79;73;99;0,1;6,6;18277;1;3628;1411;12,0;12;27,13;4,26;1,94;1,00;1,7;3,72;61;;;8
Ecuador;10700;39,0;56;Católica;73;67;88;2,0;39,0;1085;6;2531;381;26,0;6;3,37;3,04;1,28;4,33;3,1;4,03;6;90;86;5
Egipto;60000;57,0;44;Musulma.;63;60;48;2,0;76,4;748;5;3336;91;29,0;9;0,15;2,87;0,69;3,22;3,8;4,78;3;63;34;1
El Salvador;5800;246,0;44;Católica;69;64;73;2,0;41,0;1078;6;2317;530;33,0;7;9,64;3,03;1,57;4,71;3,8;3,76;27;76;70;5
Emiratos Árabes;2800;32,0;81;Musulma.;74;70;68;4,8;22,0;14193;5;;8;28,0;3;0,47;4,15;0,86;9,33;4,5;3,45;0;70;63;1
España;39200;77,0;78;Católica;81;74;95;0,3;6,9;13047;1;3572;24202;11,0;9;61,74;4,12;2,28;1,22;1,4;4,59;31;97;93;8
Estados Unidos;260800;26,0;75;Protest.;79;73;97;1,0;8,1;23474;1;3671;411907;15,0;9;157,94;4,37;2,75;1,67;2,1;5,42;20;97;97;8
Estonia;1600;36,0;72;Protest.;76;67;99;0,5;19,0;6000;2;;3;14,0;12;0,19;3,78;0,72;1,17;2,0;3,20;22;100;100;7
Etiopía;55200;47,0;12;Musulma.;54;51;24;3,1;110,0;122;4;1667;12958;45,0;14;23,47;2,09;1,88;3,21;6,8;4,74;12;32;16;5
Filipinas;69800;221,0;43;Católica;68;63;90;1,9;51,0;867;3;2375;136;27,0;7;0,20;2,94;0,72;3,86;3,4;4,84;26;90;90;5
Finlandia;5100;39,0;60;Protest.;80;72;100;0,3;5,3;15877;1;3253;158;13,0;10;3,10;4,20;1,25;1,30;1,8;3,71;8;;;9
Francia;58000;105,0;73;Católica;82;74;99;0,5;6,7;18944;1;3465;30003;13,0;9;51,73;4,28;2,20;1,40;1,8;4,76;32;;;8
Gabón;1300;4,2;46;Católica;58;52;61;1,5;94,0;4283;4;2383;472;28,0;14;36,31;3,63;2,05;2,00;4,0;3,11;1;74;48;5
Gambia;959;86,0;23;Musulma.;52;48;27;3,1;124,0;351;4;;277;46,0;16;25,18;2,55;1,91;2,88;6,3;2,98;16;39;16;5
Georgia;5500;81,0;56;Ortodoxa;76;69;99;0,8;23,0;4500;2;;2;16,0;9;0,04;3,65;0,52;1,78;2,2;3,74;;100;100;6
Gran Bretaña;58400;237,0;89;Protest.;80;74;99;0,2;7,2;15974;1;3149;9025;13,0;11;15,45;4,20;1,73;1,18;1,8;4,77;29;;;8
Grecia;10400;80,0;63;Ortodoxa;80;75;93;0,8;8,2;8060;1;3825;916;10,0;10;8,81;3,91;1,55;1,00;1,5;4,02;23;98;89;8
Guatemala;10300;97,0;39;Católica;67;62;55;2,6;57,0;1342;6;2235;499;35,0;8;4,84;3,13;1,37;4,38;4,8;4,01;12;63;47;5
Haití;6500;231,0;29;Católica;47;43;53;1,6;109,0;383;6;2013;4987;40,0;19;71,24;2,58;2,35;2,11;5,9;3,81;20;59;47;5
Honduras;5600;46,0;44;Católica;70;65;73;2,7;45,0;1030;6;2247;3473;35,0;6;62,02;3,01;2,28;5,83;4,9;3,75;14;76;71;4
Hong Kong;5800;5.494,0;94;Budista;80;75;77;-0,1;5,8;14641;3;;99;13,0;6;1,71;4,17;1,11;2,17;1,4;3,76;7;90;64;5
Hungía;10500;111,0;64;Católica;76;67;99;-0,3;12,5;5249;2;3644;149;12,0;13;1,42;3,72;1,07;0,92;1,8;4,02;51;99;98;8
India;911600;283,0;26;Indú;59;58;52;1,9;79,0;275;3;2229;713;29,0;10;0,08;2,44;0,60;2,90;4,5;5,96;55;64;39;6
Indonesia;199700;102,0;29;Musulma.;65;61;77;1,6;68,0;681;3;2750;49;24,0;9;0,02;2,83;0,48;2,67;2,8;5,30;8;84;68;5
Irán;65600;39,0;57;Musulma.;67;65;54;3,5;60,0;1500;5;3181;92;42,0;8;0,15;3,18;0,68;5,25;6,3;4,82;8;64;43;2
Iraq;19900;44,0;72;Musulma.;68;65;60;3,7;67,0;1955;5;2887;26;44,0;7;0,13;3,29;0,67;6,29;6,7;4,30;12;70;49;1
Irlanda;3600;51,0;57;Católica;78;73;98;0,3;7,4;12170;1;3778;392;14,0;9;10,89;4,09;1,61;1,56;2,0;3,56;14;;;8
Islandia;263;2,5;91;Protest.;81;76;100;1,1;4,0;17241;1;;31;16,0;7;10,33;4,24;1,60;2,29;2,1;2,42;1;;;8
Israel;5400;238,0;92;Judía;80;76;92;2,2;8,6;13066;5;;279;21,0;7;5,17;4,12;1,39;3,00;2,8;3,73;17;95;89;8
Italia;58100;188,0;69;Católica;81;74;97;0,2;7,6;17500;1;3504;21770;11,0;10;38,06;4,24;2,07;1,10;1,3;4,76;32;98;96;6
Japón;125500;330,0;77;Budista;82;76;99;0,3;4,4;19860;3;2956;713;11,0;7;0,57;4,30;0,89;1,57;1,6;5,10;13;;;6
Jordania;3961;42,0;68;Musulma.;74;70;80;3,3;34,0;1157;5;2634;31;39,0;5;0,70;3,06;0,93;7,80;5,6;3,60;4;89;70;2
Kenia;28200;49,0;24;Católica;55;51;69;3,1;74,0;323;4;2163;30126;42,0;11;111,58;2,51;2,57;3,82;5,9;4,45;3;80;58;4
Kuwait;1800;97,0;96;Musulma.;78;73;73;5,2;12,5;6818;5;3195;10;28,0;2;0,56;3,83;0,89;14,00;4,0;3,26;0;77;67;2
Letonia;2700;40,0;71;Protest.;75;64;99;0,5;21,5;7400;2;;8;14,0;12;0,30;3,87;0,78;1,17;2,0;3,43;27;100;100;7
Líbano;3620;343,0;84;Musulma.;71;67;80;2,0;39,5;1429;5;;72;27,0;7;2,48;3,16;1,20;3,86;3,4;3,56;21;88;73;6
Liberia;2900;29,0;45;Animista;57;54;40;3,3;113,0;409;4;2382;191;43,0;12;6,59;2,61;1,46;3,58;6,8;3,46;1;50;29;5
Libia;5500;2,8;82;Musulma.;65;62;64;3,7;63,0;5910;5;3324;10;45,0;8;0,18;3,77;0,71;5,63;6,4;3,74;2;75;50;6
Lituania;3800;58,0;69;Católica;77;68;99;0,3;17,0;6710;2;;5;15,0;10;0,13;3,83;0,67;1,50;2,0;3,58;49;99;98;7
Malasia;19500;58,0;43;Musulma.;72;66;78;2,3;25,6;2995;3;2774;107;29,0;5;0,55;3,48;0,89;5,80;3,5;4,29;3;86;70;5
Marruecos;28600;63,0;46;Musulma.;70;66;50;2,1;50,0;1062;4;;196;29,0;6;0,69;3,03;0,93;4,83;3,8;4,46;18;61;38;6
México;91800;46,0;73;Católica;77;69;87;1,9;35,0;3604;6;3052;18353;28,0;5;19,99;3,56;1,82;5,60;3,2;4,96;12;90;85;3
Nicaragua;4100;33,0;60;Católica;67;61;57;2,7;52,5;447;6;2265;66;35,0;7;1,53;2,65;1,09;5,00;4,3;3,61;9;57;57;5
Nigeria;98100;102,0;35;Musulma.;57;54;51;3,1;75,0;282;4;2312;1148;44,0;12;0,96;2,45;0,99;3,67;6,4;4,99;31;62;40;5
Noruega;4300;11,0;75;Protest.;81;74;99;0,4;6,3;17755;1;3326;375;13,0;10;8,72;4,25;1,54;1,30;2,0;3,63;3;;;8
Nueva Zelanda;3524;13,0;84;Protest.;80;73;99;0,6;8,9;14381;1;3362;431;16,0;8;12,23;4,16;1,65;2,00;2,0;3,55;2;;;8
Omán;1900;7,8;11;Musulma.;70;66;;3,5;36,7;7467;5;;33;40,0;5;1,74;3,87;1,12;8,00;6,5;3,28;2;;;1
Países Bajos;15400;366,0;89;Católica;81;75;99;0,6;6,3;17245;1;3151;3055;13,0;9;19,84;4,24;1,82;1,44;1,6;4,19;26;;;8
Pakistán;128100;143,0;32;Musulma.;58;57;35;2,8;101,0;406;3;;41;42,0;10;0,03;2,61;0,50;4,20;6,4;5,11;26;47;21;8
Panamá;2600;34,0;53;Católica;78;71;88;1,9;16,5;2397;6;2539;644;25,0;5;24,77;3,38;1,90;5,00;2,9;3,41;6;88;88;5
Paraguay;5200;11,0;48;Católica;75;72;90;2,7;25,2;1500;6;2757;77;33,0;5;1,60;3,18;1,10;7,33;4,3;3,72;20;92;88;6
Perú;23650;18,0;70;Católica;67;63;85;2,0;54,0;1107;6;2186;1068;26,0;7;4,66;3,04;1,36;3,71;3,1;4,37;3;92;79;3
Polonia;38600;123,0;62;Católica;77;69;99;0,3;13,8;4429;2;;201;14,0;10;0,52;3,65;0,88;1,40;1,9;4,59;46;99;98;8
Portugal;10500;108,0;34;Católica;78;71;85;0,4;9,2;9000;1;;1811;12,0;10;18,29;3,95;1,79;1,20;1,5;4,02;32;89;82;7
Rep. C. Africana;3300;5,0;47;Protest.;44;41;27;2,4;137,0;457;4;2036;3730;44,0;21;113,03;2,66;2,57;2,10;5,4;3,52;3;33;15;5
Rep. Checa;10400;132,0;;Católica;77;69;;0,2;9,3;7311;2;3632;48;13,0;11;0,46;3,86;0,86;1,17;1,8;4,02;;;;8
Rep. Dominicana;7800;159,0;60;Católica;70;66;83;1,8;51,5;1034;6;2359;2353;25,0;6;30,17;3,01;1,98;4,17;2,8;3,89;23;85;82;5
Ruanda;8400;311,0;6;Católica;46;43;50;2,8;117,0;292;4;1971;10706;49,0;21;137,26;2,47;2,68;2,33;8,2;3,92;29;64;37;8
Rumanía;23400;96,0;54;Ortodoxa;75;69;96;0,1;20,3;2702;2;3155;2736;14,0;10;11,69;3,43;1,64;1,40;1,8;4,37;43;;;8
Rusia;149200;8,8;74;Ortodoxa;74;64;99;0,2;27,0;6680;2;;136;13,0;11;0,09;3,82;0,62;1,18;1,8;5,17;8;100;100;9
Senegal;8700;43,0;40;Musulma.;58;55;38;3,1;76,0;744;4;2369;911;43,0;12;11,11;2,87;1,62;3,58;6,1;3,94;27;52;25;5
Singapur;2900;4.456,0;100;Taoista;79;73;88;1,2;5,7;14990;3;3198;75;16,0;6;2,59;4,18;1,21;2,67;1,9;3,46;4;93;84;5
Siria;14900;74,0;50;Musulma.;68;65;64;3,7;43,0;2436;5;;26;44,0;6;0,19;3,39;0,71;7,33;6,7;4,17;28;78;51;1
Somalia;6667;10,0;24;Musulma.;55;54;24;3,2;126,0;2126;4;1906;13;46,0;13;0,13;3,33;0,67;3,54;7,3;3,82;2;36;14;1
Sudáfrica;43900;35,0;49; ;68;62;76;2,6;47,1;3128;4;;3210;34,0;8;7,79;3,50;1,51;4,25;4,4;4,64;10;;;2
Suecia;8800;19,0;84;Protest.;81;75;99;0,5;5,7;16900;1;2960;1001;14,0;11;11,38;4,23;1,63;1,27;2,1;3,94;7;;;9
Suiza;7000;170,0;62;Católica;82;75;99;0,7;6,2;22384;1;3562;3662;12,0;9;52,31;4,35;2,21;1,33;1,6;3,85;10;;;8
Tailandia;59400;115,0;22;Budista;72;65;93;1,4;37,0;1800;3;2316;5654;19,0;6;9,52;3,26;1,57;3,17;2,1;4,77;34;96;90;5
Taiwan;20944;582,0;71;Budista;78;72;91;0,9;5,1;7055;3;;;15,6;;;3,85;;;;4,32;;;;
Tanzania;29800;29,0;21;Animista;45;41;46;2,5;110,0;263;4;2206;38719;46,0;19;129,93;2,42;2,65;2,42;6,2;4,47;5;62;31;6
Turquía;62200;79,0;61;Musulma.;73;69;81;2,0;49,0;3721;5;3236;130;26,0;6;0,21;3,57;0,73;4,33;3,2;4,79;30;90;71;8
Ucrania;51800;87,0;67;Ortodoxa;75;65;97;0,1;20,7;2340;2;;27;12,0;13;0,05;3,37;0,55;0,92;1,8;4,71;56;100;100;8
Uganda;19800;76,0;11;Católica;43;41;48;2,4;112,0;325;4;2153;43875;49,0;24;221,59;2,51;2,95;2,04;6,8;4,30;23;62;35;5
Uruguay;3200;18,0;89;Católica;77;71;96;0,8;17,0;3131;6;2653;469;17,0;10;14,66;3,50;1,71;1,70;2,4;3,51;8;97;96;8
Uzbekistán;22600;50,0;41;Musulma.;72;65;97;2,1;53,0;1350;5;;2;30,0;7;0,01;3,13;0,39;4,29;3,7;4,35;10;100;100;2
Venezuela;20600;22,0;91;Católica;76;70;88;2,2;28,0;2829;6;2582;3511;26,0;5;16,48;3,45;1,75;5,20;3,1;4,31;3;90;87;5
Vietnam;73100;218,0;20;Budista;68;63;88;1,8;46,0;230;3;2233;107;27,0;8;0,15;2,36;0,68;3,38;3,3;4,86;22;93;83;5
Zambia;9100;11,0;42;Protest.;45;44;73;2,8;85,0;573;4;2077;29734;46,0;18;326,75;2,76;3,18;2,56;6,7;3,96;7;81;65;5
;5201903;;;;;;;;;;;;;;;;;;;;;;;;
